filename,processing_time,tokens_processed,tokens_generated
cisco-sa-iosxe-mpls-dos-Ab4OUL3-iosxe_244_prompt.txt,801.0,4449,64
cisco-sa-iosxe-ospf-dos-dR9Sfrxp-iosxe_245_prompt.txt,802.0,4457,64
cisco-sa-iosxe-romvar-cmd-inj-N56fYbrw-iosxe_247_prompt.txt,795.0,4382,64
cisco-sa-iosxe-umbrella-dos-t2QMUX37-iosxe_251_prompt.txt,849.0,4732,64
cisco-sa-iox-priv-escalate-Xg8zkyPk-iosxe_255_prompt.txt,865.0,4854,64
cisco-sa-ioxPE-KgGvCAf9-iosxe_007_prompt.txt,806.0,4522,64
cisco-sa-ipsla-jw2DJmSv-iosxe_256_prompt.txt,829.0,4587,64
cisco-sa-ipv4-vfr-dos-CXxtFacb-iosxe_257_prompt.txt,896.0,5138,64
cisco-sa-mdns-dos-3tH6cA9J-iosxe_261_prompt.txt,844.0,4732,64
cisco-sa-pim-APbVfySJ-iosxe_268_prompt.txt,797.0,4412,64
cisco-sa-quewedge-69BsHUBW-iosxe_270_prompt.txt,870.0,4948,64
cisco-sa-sd-wan-cred-EVGSF259-iosxe_275_prompt.txt,644.0,3188,64
cisco-sa-snmp-dos-USxSyTk5-iosxe_280_prompt.txt,917.0,5326,64
cisco-sa-splitdns-SPWqpdGW-iosxe_283_prompt.txt,811.0,4507,64
cisco-sa-ssh-excpt-dos-FzOBQTnk-iosxe_285_prompt.txt,853.0,4802,64
cisco-sa-web-cmdinj3-44st5CcA-iosxe_290_prompt.txt,914.0,5314,64
cisco-sa-web-cmdinj4-S2TmH7GA-iosxe_291_prompt.txt,1139.0,6937,64
cisco-sa-webui-auth-bypass-6j2BYUc7-iosxe_293_prompt.txt,848.0,4763,64
cisco-sa-webui-cmdij-FzZAeXAy-iosxe_294_prompt.txt,880.0,5023,64
cisco-sa-webui-cmdinj-gVn3OKNC-iosxe_295_prompt.txt,892.0,5094,64
cisco-sa-webui-cmdinj-zM283Zdw-iosxe_296_prompt.txt,911.0,5271,64
cisco-sa-webui-csrf-ycUYxkKO-iosxe_297_prompt.txt,1061.0,6370,64
cisco-sa-wlc-dhcp-dos-76pCjPxK-iosxe_298_prompt.txt,846.0,4734,64
cisco-sa-wlc-file-uplpd-rHZG9UfC-iosxe_299_prompt.txt,1057.0,6351,64
cisco-sa-wlc-mdns-dos-4hv6pBGf-iosxe_300_prompt.txt,797.0,4435,64
cisco-sa-wlc-wncd-p6Gvt6HL-iosxe_302_prompt.txt,1010.0,6012,64
cisco-sa-wpa-dos-cXshjerc-iosxe_303_prompt.txt,877.0,4957,64
cisco-sa-xbace-OnCEbyS-iosxe_304_prompt.txt,822.0,4607,64
